id,title,description,image
14,end,"Number 1 reason for a bad breath is often as a result of
plaque and tartar build up around the teeth. A professional
dental cleaning ensures the tartar is remove from all of the
surfaces of your teeth. A dentist or a dental hygienist must
also determine if there are deep pockets around the gums
and ensure the teeth and the root surfaces are all cleaned
and polished well. It is also important that any dental
cavities or spaces between teeth to be restored properly to
prevent food entrapment leading to a bad breath. There
are other reasons for a bad breath in absence of dental
problems. These include systemic dental problems such
as diabetes, Postnasal drip, respiratory and tonsil
infections, sinus problems, , liver and kidney ailments, as
well as certain blood disorders can all cause bad breath. In
some rare cases, bad breath could be a sign of cancer or
other serious conditions like metabolic disorders. Other
reasons for a bad breath not related to teeth or a medical
condition is eating certain type of food. Garlic and onion
are known to create a strong smell and if it is consumed
daily, it can have an accumulative effect in creating a bad
breath. The first step in identifying the cause of bad breath
is to have a dental evaluation and make sure it is not a
dental condition causing the bad breath. If the dental
condition is not the cause, then a medical examination will
be required.",""
15,end,"If you have a dental cleaning on a regular basis and your
teeth have are absent from any cavities, it is possible that
the source of your bad breath is from the food you eat or a
systemic medical problem. Consumption of foods such as
Garlic, Onion on a daily basis can compound the problem.
Also Diabetes, Postnasal Drip, Respiratory and Tonsil
infections, Sinus Problems, , Liver and Kidney ailments, as
well as certain blood disorders can all cause bad
breath.The first step in identifying the cause of bad breath
is to have a dental evaluation and make sure it is not a
dental condition causing the bad breath. If the dental
condition is not the cause, then a medical examination will
be required.",""
13,Is it been more than 6 months since your last dental cleaning?,"",""
102,end,"Please Text Us “ Urgent
Care” +1702 605 0555 or
+66 905 145 965",""
104,end,"A soft swelling on the hard palate
can be caused by a number of oral
pathologies such as Mucocele
( Blockage of Salivary Glands ),
Canker Sores, Cold Sores, or other
systemic medical conditions. It also
could be caused by food injury
such as a Pizza Burn or Nachos
Cut. Any type of swelling must be
taken seriously and receive an
evaluation by a dentist.",""
108,end,"There are number of reasons for a
swelling inside of the mouth. This
can range from food injury, to
dental appointment trauma, cystic
lesions, infections, as a sign of a
immune suppression and more. It is
important that all swellings to be
evaluated by a dentist as soon as
possible.",""
106,Does Swelling increase in size after eating?,"",""
110,end,"When there is a facial swelling present, it is
generally an indication of an underlying
serious infection that requires immediate
attention. This swelling could be related to an
infection related to a tooth, bone or gum.
Immediate clinical and radiographic evaluation
is required as the infection can rapidly spread
to other areas and between the facial muscles
making it difficult to treat and may create lifethreatening problems.",""
99,Are you able to contact your dentist?,"It is normal after a dental surgery to
experience swelling. The swelling
can reach its maximum size in
about 48 hours. However, you
should have it evaluated by your
dentist.",""
103,end,"Sometimes hard swellings on the
palate could be a normal condition
referred to as a palatal bone tori.
Other conditions could be a
growing an extra tooth. But any
swelling must be evaluated by a
dentist.",""
100,Is this swelling hard to touch?,"",""
105,end,"It is normal after a dental surgery to
experience swelling. The swelling
can reach its maximum size in
about 48 hours. However, you
should have it evaluated by your
dentist.",""
92,Is your swelling as a result of a recent extraction or a dental surgery?,"",""
107,end,"Swelling under the tongue that
increases in size after eating are
generally related to an obstruction
of a salivary duct. The salivary
ducts can become blocked by
calcified stones from saliva and
create a swelling. The condition can
often be treated by a well trained
oral and maxillofacial surgeon who
can remove the blockage",""
